n,instance,algorithm,epsilon,optimal_value,value,weight,ratio,error_percent,runtime_ms
20,1,EXACT,NA,417,417,405,1.000000,0.000000,2.884083
20,1,GREEDY,NA,417,374,362,0.896882,10.311751,3.917250
20,1,FPTAS,0.50,417,409,403,0.980815,1.918465,1.546125
20,1,FPTAS,0.20,417,416,405,0.997602,0.239808,1.400917
20,1,FPTAS,0.10,417,417,405,1.000000,0.000000,2.731584
20,1,FPTAS,0.05,417,417,405,1.000000,0.000000,3.033458
20,1,FPTAS,0.01,417,417,405,1.000000,0.000000,3.077291
20,2,EXACT,NA,354,354,341,1.000000,0.000000,0.619125
20,2,GREEDY,NA,354,354,341,1.000000,0.000000,0.031292
20,2,FPTAS,0.50,354,349,341,0.985876,1.412429,0.649125
20,2,FPTAS,0.20,354,351,341,0.991525,0.847458,0.776208
20,2,FPTAS,0.10,354,354,341,1.000000,0.000000,1.021125
20,2,FPTAS,0.05,354,354,341,1.000000,0.000000,0.818000
20,2,FPTAS,0.01,354,354,341,1.000000,0.000000,2.150417
20,3,EXACT,NA,383,383,371,1.000000,0.000000,0.566250
20,3,GREEDY,NA,383,382,370,0.997389,0.261097,0.031417
20,3,FPTAS,0.50,383,378,371,0.986945,1.305483,0.088541
20,3,FPTAS,0.20,383,381,371,0.994778,0.522193,0.137416
20,3,FPTAS,0.10,383,383,371,1.000000,0.000000,0.264834
20,3,FPTAS,0.05,383,383,371,1.000000,0.000000,0.657958
20,3,FPTAS,0.01,383,383,371,1.000000,0.000000,2.442042
20,4,EXACT,NA,496,496,484,1.000000,0.000000,0.746958
20,4,GREEDY,NA,496,464,452,0.935484,6.451613,0.185125
20,4,FPTAS,0.50,496,491,483,0.989919,1.008065,0.492584
20,4,FPTAS,0.20,496,493,484,0.993952,0.604839,0.269208
20,4,FPTAS,0.10,496,495,484,0.997984,0.201613,0.317333
20,4,FPTAS,0.05,496,496,484,1.000000,0.000000,0.633834
20,4,FPTAS,0.01,496,496,484,1.000000,0.000000,2.704250
20,5,EXACT,NA,428,428,416,1.000000,0.000000,0.600375
20,5,GREEDY,NA,428,416,403,0.971963,2.803738,0.023000
20,5,FPTAS,0.50,428,424,416,0.990654,0.934579,2.285000
20,5,FPTAS,0.20,428,428,416,1.000000,0.000000,1.029416
20,5,FPTAS,0.10,428,428,416,1.000000,0.000000,0.568458
20,5,FPTAS,0.05,428,428,416,1.000000,0.000000,0.699625
20,5,FPTAS,0.01,428,428,416,1.000000,0.000000,2.415416
20,6,EXACT,NA,380,380,368,1.000000,0.000000,0.548791
20,6,GREEDY,NA,380,359,346,0.944737,5.526316,0.021916
20,6,FPTAS,0.50,380,374,367,0.984211,1.578947,0.056041
20,6,FPTAS,0.20,380,379,367,0.997368,0.263158,0.138417
20,6,FPTAS,0.10,380,380,368,1.000000,0.000000,0.258792
20,6,FPTAS,0.05,380,380,368,1.000000,0.000000,0.519708
20,6,FPTAS,0.01,380,380,368,1.000000,0.000000,2.211000
20,7,EXACT,NA,331,331,320,1.000000,0.000000,0.470750
20,7,GREEDY,NA,331,302,291,0.912387,8.761329,0.026458
20,7,FPTAS,0.50,331,326,320,0.984894,1.510574,0.062084
20,7,FPTAS,0.20,331,330,320,0.996979,0.302115,0.149750
20,7,FPTAS,0.10,331,331,320,1.000000,0.000000,0.295709
20,7,FPTAS,0.05,331,331,320,1.000000,0.000000,0.569375
20,7,FPTAS,0.01,331,331,320,1.000000,0.000000,2.528417
20,8,EXACT,NA,366,366,354,1.000000,0.000000,0.561750
20,8,GREEDY,NA,366,361,348,0.986339,1.366120,0.246292
20,8,FPTAS,0.50,366,361,352,0.986339,1.366120,0.050750
20,8,FPTAS,0.20,366,362,354,0.989071,1.092896,0.118917
20,8,FPTAS,0.10,366,366,354,1.000000,0.000000,0.248000
20,8,FPTAS,0.05,366,366,354,1.000000,0.000000,0.485875
20,8,FPTAS,0.01,366,366,354,1.000000,0.000000,2.134375
20,9,EXACT,NA,386,386,374,1.000000,0.000000,1.532292
20,9,GREEDY,NA,386,360,347,0.932642,6.735751,0.021958
20,9,FPTAS,0.50,386,381,373,0.987047,1.295337,0.080750
20,9,FPTAS,0.20,386,386,374,1.000000,0.000000,0.135875
20,9,FPTAS,0.10,386,386,374,1.000000,0.000000,0.268500
20,9,FPTAS,0.05,386,386,374,1.000000,0.000000,0.515000
20,9,FPTAS,0.01,386,386,374,1.000000,0.000000,2.247250
20,10,EXACT,NA,572,572,562,1.000000,0.000000,1.411917
20,10,GREEDY,NA,572,511,501,0.893357,10.664336,0.016666
20,10,FPTAS,0.50,572,571,562,0.998252,0.174825,0.092166
20,10,FPTAS,0.20,572,570,562,0.996503,0.349650,0.180208
20,10,FPTAS,0.10,572,572,562,1.000000,0.000000,0.370083
20,10,FPTAS,0.05,572,572,562,1.000000,0.000000,11.419083
20,10,FPTAS,0.01,572,572,562,1.000000,0.000000,3.077500
20,11,EXACT,NA,503,503,492,1.000000,0.000000,0.229541
20,11,GREEDY,NA,503,460,449,0.914513,8.548708,0.088500
20,11,FPTAS,0.50,503,498,491,0.990060,0.994036,0.062875
20,11,FPTAS,0.20,503,502,491,0.998012,0.198807,0.157167
20,11,FPTAS,0.10,503,503,492,1.000000,0.000000,0.288833
20,11,FPTAS,0.05,503,503,492,1.000000,0.000000,0.581084
20,11,FPTAS,0.01,503,503,492,1.000000,0.000000,2.468166
20,12,EXACT,NA,443,443,431,1.000000,0.000000,0.042334
20,12,GREEDY,NA,443,422,410,0.952596,4.740406,0.014458
20,12,FPTAS,0.50,443,440,430,0.993228,0.677201,0.067042
20,12,FPTAS,0.20,443,440,431,0.993228,0.677201,0.143959
20,12,FPTAS,0.10,443,443,431,1.000000,0.000000,0.537250
20,12,FPTAS,0.05,443,443,431,1.000000,0.000000,1.459167
20,12,FPTAS,0.01,443,443,431,1.000000,0.000000,7.743125
20,13,EXACT,NA,473,473,462,1.000000,0.000000,0.047875
20,13,GREEDY,NA,473,464,452,0.980973,1.902748,0.017542
