n,instance,algorithm,epsilon,optimal_value,value,weight,ratio,error_percent,runtime_ms
20,1,EXACT,NA,808,808,322,1.000000,0.000000,1.284000
20,1,GREEDY,NA,808,786,302,0.972772,2.722772,4.379625
20,1,FPTAS,0.50,808,808,322,1.000000,0.000000,0.974542
20,1,FPTAS,0.20,808,808,322,1.000000,0.000000,1.294166
20,1,FPTAS,0.10,808,808,322,1.000000,0.000000,2.572583
20,1,FPTAS,0.05,808,808,322,1.000000,0.000000,3.114958
20,1,FPTAS,0.01,808,808,322,1.000000,0.000000,3.625958
20,2,EXACT,NA,624,624,514,1.000000,0.000000,0.981375
20,2,GREEDY,NA,624,620,494,0.993590,0.641026,0.033667
20,2,FPTAS,0.50,624,624,514,1.000000,0.000000,1.372459
20,2,FPTAS,0.20,624,624,514,1.000000,0.000000,0.462041
20,2,FPTAS,0.10,624,624,514,1.000000,0.000000,0.200542
20,2,FPTAS,0.05,624,624,514,1.000000,0.000000,0.433042
20,2,FPTAS,0.01,624,624,514,1.000000,0.000000,1.795875
20,3,EXACT,NA,951,951,313,1.000000,0.000000,0.586000
20,3,GREEDY,NA,951,951,313,1.000000,0.000000,0.030292
20,3,FPTAS,0.50,951,951,313,1.000000,0.000000,0.101667
20,3,FPTAS,0.20,951,951,313,1.000000,0.000000,0.155750
20,3,FPTAS,0.10,951,951,313,1.000000,0.000000,0.287500
20,3,FPTAS,0.05,951,951,313,1.000000,0.000000,0.648167
20,3,FPTAS,0.01,951,951,313,1.000000,0.000000,2.540000
20,4,EXACT,NA,500,500,336,1.000000,0.000000,0.556917
20,4,GREEDY,NA,500,492,327,0.984000,1.600000,0.029917
20,4,FPTAS,0.50,500,500,336,1.000000,0.000000,0.528750
20,4,FPTAS,0.20,500,500,336,1.000000,0.000000,0.373167
20,4,FPTAS,0.10,500,500,336,1.000000,0.000000,0.208500
20,4,FPTAS,0.05,500,500,336,1.000000,0.000000,0.387709
20,4,FPTAS,0.01,500,500,336,1.000000,0.000000,1.963125
20,5,EXACT,NA,841,841,419,1.000000,0.000000,0.637958
20,5,GREEDY,NA,841,830,409,0.986920,1.307967,0.038125
20,5,FPTAS,0.50,841,841,419,1.000000,0.000000,0.102250
20,5,FPTAS,0.20,841,841,419,1.000000,0.000000,0.178959
